elevation_class,bias,ubrmsd,R,N
DEM-I,-0.38,2.18,0.967,19329958
DEM-II,0.09,2.77,0.959,3852025
DEM-III,0.53,2.85,0.946,4714390
DEM-IV,1.49,3.68,0.874,18914592
