temp_class,bias,ubrmsd,R,N
ST-I,0.42,2.62,0.609,16396696
ST-II,1.02,3.48,0.556,12833256
ST-III,0.76,3.26,0.504,10637013
ST-IV,-0.61,2.85,0.664,6944000
