climate_group,bias,ubrmsd,R,N
Arid,1.78,3.62,0.918,11750942
Cold,0.34,2.99,0.915,20694872
Polar,-1.88,3.73,0.874,680343
Temperate,-0.32,2.17,0.958,12580692
Tropical,3.41,2.49,0.877,472266
Unknown,-0.69,2.1,0.964,631850
