climate_group,bias,ubrmsd,R,N
Arid,0.14,5.79,0.786,318150
Cold,1.48,4.43,0.79,403190
Polar,-1.78,4.2,0.518,7629
Temperate,-0.95,4.51,0.824,326660
Tropical,-9.81,5.16,0.829,5977
Unknown,-12.72,7.97,0.284,2279
