elevation_class,bias,ubrmsd,R,N
DEM-I,-1.41,4.89,0.814,528824
DEM-II,-0.36,5.04,0.84,85446
DEM-III,-0.88,4.72,0.838,105926
DEM-IV,3.2,4.18,0.79,343689
