temp_class,bias,ubrmsd,R,N
ST-I,1.83,4.55,0.791,527287
ST-II,-1.0,4.24,0.839,280519
ST-III,-1.93,5.69,0.774,142808
ST-IV,-1.78,6.21,0.772,103270
