land_cover_group,bias,ubrmsd,R,N
Agriculture,-1.49,2.92,0.957,8247288
Forest,0.89,4.74,0.877,12650109
Grassland,-0.71,3.59,0.942,11808321
Others,-1.53,3.77,0.949,3038300
Savanna,-0.84,3.47,0.938,1337279
Shrubland,-1.92,4.06,0.944,3996283
