temp_class,bias,ubrmsd,R,N
ST-I,-0.79,4.04,0.592,14063546
ST-II,-0.26,3.87,0.545,9065836
ST-III,0.3,4.22,0.457,9237967
ST-IV,-1.4,3.89,0.679,8710231
