climate_group,bias,ubrmsd,R,N
Arid,-0.05,4.89,0.905,10728689
Cold,-0.51,4.02,0.915,17366331
Polar,-1.46,4.01,0.896,335349
Temperate,-1.06,3.15,0.938,11527037
Tropical,-1.27,4.1,0.685,443116
Unknown,-0.49,2.99,0.954,677058
