elevation_class,bias,ubrmsd,R,N
DEM-I,-1.55,3.44,0.943,7504731
DEM-II,-1.78,4.18,0.94,1338109
DEM-III,-1.56,3.91,0.941,1667047
DEM-IV,-0.09,5.99,0.853,6145787
