climate_group,bias,ubrmsd,R,N
Arid,-0.18,5.2,0.9,4310051
Cold,-1.48,5.05,0.885,7319420
Polar,-2.04,4.25,0.9,222892
Temperate,-1.17,3.27,0.929,4452164
Tropical,1.47,4.98,0.679,208984
Unknown,-1.28,3.07,0.956,142163
