land_cover_group,bias,ubrmsd,R,N
Agriculture,-1.74,3.24,0.947,3268525
Forest,-0.29,5.85,0.85,5517372
Grassland,-0.9,4.06,0.928,4812252
Others,-2.06,4.27,0.941,1037573
Savanna,-2.07,3.86,0.929,471497
Shrubland,-1.57,4.55,0.931,1548455
