temp_class,bias,ubrmsd,R,N
ST-I,-2.19,5.42,0.545,5937305
ST-II,0.09,3.89,0.523,3704311
ST-III,0.26,4.21,0.434,3742896
ST-IV,-1.68,3.92,0.692,3271162
