land_cover_group,bias,ubrmsd,R,N
Agriculture,-1.49,2.11,0.965,7071621
Forest,0.94,3.37,0.894,12319382
Grassland,-0.95,2.53,0.952,11066952
Others,-1.84,3.09,0.955,2472191
Savanna,-0.93,2.53,0.945,1266431
Shrubland,-1.47,3.31,0.947,3197128
