elevation_class,bias,ubrmsd,R,N
DEM-I,-1.27,2.13,0.969,17408318
DEM-II,-1.41,2.56,0.96,3537958
DEM-III,-1.14,3.03,0.937,4385274
DEM-IV,1.01,3.71,0.858,12062155
