land_cover_group,bias,ubrmsd,R,N
Agriculture,-0.46,3.27,0.946,9534270
Forest,1.18,4.61,0.877,17352898
Grassland,0.31,4.23,0.92,14661702
Others,-0.59,4.1,0.939,3231135
Savanna,-0.21,3.95,0.916,1405730
Shrubland,0.17,4.51,0.936,4372186
