climate_group,bias,ubrmsd,R,N
Arid,1.48,5.07,0.907,12901912
Cold,0.19,4.13,0.903,21671547
Polar,-1.77,3.81,0.898,690681
Temperate,-0.25,3.42,0.927,13992974
Tropical,1.77,3.78,0.859,630987
Unknown,-0.67,3.41,0.938,669820
