elevation_class,bias,ubrmsd,R,N
DEM-I,-0.45,3.49,0.941,22797454
DEM-II,-0.06,4.0,0.946,4071396
DEM-III,0.41,4.14,0.933,5243446
DEM-IV,1.49,4.92,0.872,18445625
