temp_class,bias,ubrmsd,R,N
ST-I,0.05,3.76,0.556,18115324
ST-II,0.57,4.26,0.485,11270170
ST-III,1.09,4.8,0.407,11328035
ST-IV,-0.06,4.35,0.686,9844392
