elevation_class,bias,ubrmsd,R,N
DEM-I,-1.89,2.55,0.955,6377145
DEM-II,-1.96,2.94,0.953,1279243
DEM-III,-1.86,2.6,0.958,1483641
DEM-IV,-0.36,4.42,0.855,6158295
