climate_group,bias,ubrmsd,R,N
Arid,-0.12,3.92,0.908,3821287
Cold,-1.81,3.65,0.88,6966065
Polar,-2.15,3.4,0.869,223309
Temperate,-1.54,2.54,0.94,4020245
Tropical,2.79,2.64,0.819,123606
Unknown,-1.34,2.49,0.973,143812
