land_cover_group,bias,ubrmsd,R,N
Agriculture,-2.15,2.46,0.952,2708418
Forest,-0.47,4.33,0.864,5540988
Grassland,-1.37,2.94,0.938,4505787
Others,-2.08,3.05,0.956,870254
Savanna,-1.96,3.14,0.909,445327
Shrubland,-1.85,3.25,0.947,1227550
