temp_class,bias,ubrmsd,R,N
ST-I,-1.8,3.8,0.568,5357479
ST-II,-0.02,3.19,0.557,4177652
ST-III,-1.0,3.3,0.462,3492842
ST-IV,-2.79,2.96,0.682,2270351
